State Code,Nonurban Area,Wage Index
1,ALABAMA,0.7121
2,ALASKA,1.2807
3,ARIZONA,0.9182
4,ARKANSAS,0.7350
5,CALIFORNIA,1.2567
6,COLORADO,1.0208
7,CONNECTICUT,1.1128
8,DELAWARE,1.0171
10,FLORIDA,0.8062
11,GEORGIA,0.7421
12,HAWAII,1.0728
13,IDAHO,0.7583
14,ILLINOIS,0.8438
15,INDIANA,0.8472
16,IOWA,0.8351
17,KANSAS,0.7997
18,KENTUCKY,0.7877
19,LOUISIANA,0.7718
20,MAINE,0.8300
21,MARYLAND,0.8797
22,MASSACHUSETTS,1.3540
23,MICHIGAN,0.8387
24,MINNESOTA,0.9053
25,MISSISSIPPI,0.7537
26,MISSOURI,0.7622
27,MONTANA,0.8600
28,NEBRASKA,0.8733
29,NEVADA,0.9739
30,NEW HAMPSHIRE,1.0372
31,NEW JERSEY 1,-----
32,NEW MEXICO,0.8879
33,NEW YORK,0.8199
34,NORTH CAROLINA,0.8271
35,NORTH DAKOTA,0.6891
36,OHIO,0.8470
37,OKLAHOMA,0.7783
38,OREGON,0.9500
39,PENNSYLVANIA,0.8380
40,PUERTO RICO 1,0.4047
41,RHODE ISLAND,-----
42,SOUTH CAROLINA,0.8338
43,SOUTH DAKOTA,0.8124
44,TENNESSEE,0.7559
45,TEXAS,0.7978
46,UTAH,0.8516
47,VERMONT,0.9725
48,VIRGIN ISLANDS,0.7185
49,VIRGINIA,0.7728
50,WASHINGTON,1.0092
51,WEST VIRGINIA,0.7333
52,WISCONSIN,0.9142
53,WYOMING,0.9238
65,GUAM,0.9611
